Company,Trainee,ID,Age,Evaluation1,Evaluation2,Ep1_Rank,Ep2_Rank,Ep3_Rank,Ep5_Rank,Ep5_Votes,Ep8_Rank,Ep8_Votes,Ep10_Rank,Ep10_Votes,Ep11_Rank,Ep11_Votes,Final_Rank,I.O.I
Blessing Entertainment (___),Ahn Yu-mi (___),1,19,D,F,92,98,90,63,27793,,,,,,,63,0
MAJESTY,An Ye-seul_(___)20,2,21,B,B,38,41,30,25,106322,26,301814,32,6046,,,32,0
Tipping Entertainment (__),Ariyoshi Risa (____ __),3,23,F,F,62,72,49,48,41244,55,95712,,,,,55,0
Blessing Entertainment (___),Bang Joon-hee (___),4,18,F,C,73,88,97,94,18579,,,,,,,94,0
DSP Media,Cho Shi-yoon (___)8,5,20,D,D,21,15,17,27,102110,41,146681,,,,,41,0
Nextar Entertainment (___),Choi Eun-bin (___)24,6,23,C,C,90,77,72,70,25659,,,,,,,70,0
Fantagio_(____),Choi Yoo-jung_(___),7,17,D,A,11,13,8,3,392773,2,1286447,3,128004,3,438778,3,1
Midas Entertainment,Choi Yu-bin (___),8,17,C,D,56,67,74,88,20829,,,,,,,88,0
Fantagio_(____),Chu Ye-jin_(___),9,15,F,F,36,37,42,50,41048,46,126296,,,,,46,0
JYP Entertainment,Ennik Somi Douma_(___)12,10,15,A,B,1,1,1,2,528772,4,1201490,1,380783,1,858333,1,1
Pledis Entertainment_(____),Gang Gyeong-won_(___),11,19,C,D,49,40,37,31,71200,48,118171,,,,,48,0
Star Planet Co. (_____),Ham Ye-ji (___)28,12,22,D,F,101,62,60,72,24485,,,,,,,72,0
Star Empire Entertainment,Han Hye-ri_(___),13,19,C,D,12,16,18,22,125095,16,450768,8,49379,12,134128,12,0
Midas Entertainment,Han Ji-yeon (___),14,21,D,F,55,55,58,76,23566,,,,,,,76,0
Duble Kick Company_(___ ___),Heo Chan-mi (___)9,15,24,A,B,16,7,9,15,184926,33,249026,26,8571,,,26,0
MJ Entertainment,Heo Saem (__),16,23,C,F,61,66,67,75,23722,,,,,,,75,0
Happy Face Entertainment_(_____),Hwang A-young (___),17,21,D,D,81,70,64,61,28223,56,89095,,,,,56,0
Show Works (___),Hwang In-sun_(___)27,18,27,D,C,50,28,28,36,59736,31,256387,27,8114,,,27,0
NHemg,Hwang Ri-yu (___),19,18,F,F,96,64,61,66,27042,,,,,,,66,0
LOUDers Entertainment,Hwang Se-young (___),20,22,C,D,78,59,57,67,26981,,,,,,,67,0
Happy Face Entertainment_(_____),Hwang Soo-yeon (___),21,24,B,C,69,63,56,56,30858,39,158248,,,,,39,0
Cube Entertainment,Jeon So-yeon_(___),22,18,A,A,23,11,11,10,230395,19,372952,20,19045,20,78058,20,0
MBK Entertainment,Jung Chae-yeon_(___)21,23,19,C,C,4,8,10,8,251469,9,696808,12,43820,7,215338,7,1
Pledis Entertainment_(____),Jung Eun-woo_(___)25,24,18,D,B,5,12,13,18,175904,17,438879,21,14986,21,42461,21,0
Fantagio_(____),Jung Hae-rim (___),25,18,C,C,47,57,54,44,43960,47,119148,,,,,47,0
Jellyfish Entertainment_(____),Kang Mi-na_(___),26,17,A,A,8,3,3,5,376977,3,1212720,18,21646,9,173762,9,1
Star Empire Entertainment,Kang Si-hyeon (___),27,18,C,F,33,53,52,60,29124,61,65368,,,,,61,0
Chungchun Music (____),Kang Si-ra (___)4,28,25,B,B,42,60,62,59,29703,29,290109,16,26526,22,40759,22,0
Individual Trainee_(__ ___),Kang Si-won (___),29,20,F,C,46,45,39,39,56224,36,206504,,,,,36,0
Pledis Entertainment_(____),Kang Yae-bin_(___),30,18,A,A,20,20,26,28,88277,32,250556,29,6879,,,29,0
Midas Entertainment,Katherine C. Lee (___ _),31,15,D,F,72,73,73,89,20807,,,,,,,89,0
MBK Entertainment,Ki Heui-hyeon_(___)21,32,21,C,A,6,9,5,6,294540,12,481070,13,35118,19,98849,19,0
LOUDers Entertainment,Kim Bo-seon (___)17,33,22,D,D,84,79,83,96,18034,,,,,,,96,0
M&H,Kim Chung-ha_(___),34,20,A,A,37,39,23,14,193820,13,462668,5,89323,4,403633,4,1
Hello Music Entertainment (____),Kim Da-jeong (___),35,21,D,C,45,61,59,62,28000,,,,,,,62,0
MBK Entertainment,Kim Danielle (___)22,36,17,B,A,7,6,4,7,273930,18,419427,24,12581,,,24,0
Blessing Entertainment (___),Kim Do-hee (___),37,19,F,F,48,68,70,81,21485,,,,,,,81,0
Fantagio_(____),Kim Do-yeon (___),38,17,B,A,28,22,14,13,203007,7,841749,11,44873,8,200069,8,1
101 Doors,Kim Ha-yun (___),39,22,,,93,56,,,,,,,,,,,0
Happy Face Entertainment_(_____),Kim Hong-eun (___),40,17,C,F,80,91,80,80,21598,,,,,,,80,0
Kconic Entertainment,Kim Hyeong-eun (___),41,22,C,B,35,49,41,37,59191,23,332712,33,4538,,,33,0
Happy Face Entertainment_(_____),Kim Ja-yeon (___),42,25,F,D,99,97,84,86,20932,,,,,,,86,0
Happy Face Entertainment_(_____),Kim Ji-sung (___),43,20,D,B,77,84,66,68,26566,,,,,,,68,0
Music K Entertainment,Kim Ju-na_(___)23,44,22,C,F,76,24,20,19,161825,21,371978,34,3450,,,34,0
MJ Entertainment,Kim Mi-so (___),45,16,D,C,52,74,63,73,24114,,,,,,,73,0
Kconic Entertainment,Kim Min-ji (___)13,46,23,D,F,44,44,38,34,63132,44,133093,,,,,44,0
