Company,Name,Age,Evaluation1,Evaluation2,Ep1_Rank,Ep2_Rank,Ep3_Rank,Ep4_Rank,Ep4_Votes
2able Company (____ ___),Ju Won-tak (___),22,B,C,92,83,94,14,3103
2Y Entertainment,Lee Ki-won (___),22,D,D,63,65,58,10,3112
Ardor and Able (______),Noh Tae-hyun (___)3,25,A,A,61,48,24,42,3027
Ardor and Able (______),Ha Seng-un (___)3,24,A,A,34,28,23,34,3039
Banana Entertainment (___),Yoon Yong-bin (___),23,C,D,80,73,67,46,3018
Blessing Entertainment (___),Yu Jin-won (___),21,C,F,79,87,70,51,123
Blessing Entertainment (___),Im Woo-hyeok (___),24,C,C,49,53,57,28,3061
Brand New Musicæ(_____),Kim Dong-hyun (___),20,B,B,42,46,35,31,3045
Brand New Musicæ(_____),Park Woo-jin (___),19,A,A,72,75,38,40,3031
Brand New Musicæ(_____),Lee Dae-hwi (___),17,A,A,3,3,2,13,3105
Brand New Musicæ(_____),Lim Young-min (___),23,B,A,24,27,31,38,3033
Brave Entertainmentæ(____ ______),Arredondo Samuel (____)4,16,A,A,6,2,3,36,3034
C2K Entertainment,Kim Seong-lee (___),24,B,A,69,60,53,43,3024
C9 Entertainment,Bae Jin-young (___),18,C,F,5,12,10,26,3066
Choon Entertainment (_),Kim Shi-hyun (___),20,D,D,,,,,
Choon Entertainment (_),Jin Longguo (___),22,C,D,44,49,37,92,15
Cre.Ker Entertainment (___),Joo Hak-nyeon (___),19,F,F,4,8,6,18,3093
CS Entertainment,Cho Jin-hyung (___),22,D,B,85,92,75,24,3068
Cube Entertainment,Lai Kuan-lin (____),17,D,F,10,6,7,61,79
Cube Entertainment,Yu Seon-ho (___),16,F,F,22,16,15,57,93
Fantagioæ(____),Ong Seong-wu (___),23,A,A,8,4,4,16,3097
FENT (_____),Lee Jun-woo (___),20,F,C,30,36,33,60,82
FNC Entertainment,Yoo Hoe-seung (___),23,D,C,43,39,49,75,37
Gini Stars Entertainment (_____),Kim Do-hyun (___)5,26,C,C,86,69,86,88,22
Gini Stars Entertainment (_____),Park Hee-seok (___)5,26,D,C,89,66,87,50,3005
Gini Stars Entertainment (_____),Wang Min-hyeok (___),24,D,D,98,85,98,91,15
GNI Entertainment (____),Jeong Si-hyun (___),27,F,F,48,56,62,77,31
GON Entertainment,Hong Eun-ki (___),21,C,D,29,31,41,36,3034
Hanahreum Company (___ ___),Kim Tae-min (___),23,F,F,26,33,30,63,72
HF Music Company (HF_____),Park Woo-dam (___),23,C,D,59,57,68,1,3270
HF Music Company (HF_____),Woo Jin-young (___),21,C,A,55,50,45,27,3064
HF Music Company (HF_____),Jeong Won-cheol (___)2,22,F,B,81,72,85,48,3015
HF Music Company (HF_____),Jo Yong-geun (___),23,F,C,65,59,71,95,7
HIM Entertainment,Park Sung-woo (___),30,F,F,12,13,17,21,3076
Hunus Entertainment (___),Kim Sang-kyun (___)6,23,F,D,47,38,47,52,109
I.One Entertainment (___),Kim Yeon-kuk (___),23,F,D,97,91,92,49,3007
I.One Entertainment (___),Nam Yoon-sung (___),22,F,C,,,,,
